latitud;longitud;direccion;localidad;provincia
"""-37.31585469167221""";"""-59.14624239598432""";Chacabuco 1570;Tandil;Buenos Aires
"""-34.66362261394541""";"""-58.36602007100208""";Alsina 157;Avellaneda;Buenos Aires
"""-34.16363318895078""";"""-58.96550041372024""";9 de Julio 1073 entre French y Beruti;Campana;Buenos Aires
"""-37.98209515863766""";"""-57.59362246472887""";David Ortega 2246;Mar Del Plata;Buenos Aires
"""-35.80818717727257""";"""-61.89392224725921""";Zuviria 456;Pehuajo;Buenos Aires
"""-34.91250351265744""";"""-57.94800222861688""";Calle 5 nro 866;La Plata;Buenos Aires
"""-34.656919112360356""";"""-58.6168628853612""";Entre Ríos 545 ;Moron;Buenos Aires
"""-38.5597483804927""";"""-58.740626171422655""";Calle 67 2331;Necochea;Buenos Aires
"""-35.084086355854375""";"""-57.51176115560171""";Viedma 1554;Magdalena;Buenos Aires
"""-34.85438268017378""";"""-57.909295234262""";Aristobulo del valle 626;Ensenada;Buenos Aires
